,🚗 Elektroauto-Anteil (%),☀️ Solar-Nutzung (%),🔥 Erneuerbare Heizung (%),⚡ Stromverbrauch (MWh/Kopf),🍃 Erneuerbare Stromprod. (MWh/Kopf)
Kanton Bern,0.03273239823008849,0.08990723303834808,0.4828185250737463,4.999998516320474,17.699188358208957
Schweiz,0.045604,0.106788,0.395576,4.8326,5.3078

