,bfs_id,name,lat,lon
0,602,Arni (BE),2616678.1714552753,1198276.965133631
1,616,Münsingen,2610061.3849450084,1192262.902844047
2,424,Wynigen,2619227.95946656,1217018.8185430705
3,553,Wiggiswil,2602467.1905301474,1208924.1817938555
4,437,Mont-Tramelan,2571675.088377253,1228851.4564459303
5,743,Nidau,2584995.619207169,1219277.4457621428
6,667,Laupen,2585048.094437561,1195468.1809373454
7,663,Frauenkappelen,2591992.4011123264,1200480.6670922914
8,991,Walliswil bei Wangen,2618544.471339948,1230712.7195631326
9,392,Pieterlen,2591615.457877385,1224774.6796856823
10,908,Trub,2634464.411955265,1201409.5509667334
11,936,Pohlern,2606447.2926201187,1173840.1814259416
12,590,Ringgenberg (BE),2634563.280664484,1173166.7282728353
13,700,Moutier,2594178.464194582,1236280.6026067683
14,619,Oberdiessbach,2615156.133942208,1187033.6365004273
15,344,Ursenbach,2624702.1918925196,1219868.8059589723
16,322,Auswil,2630089.4127666163,1220689.0140325872
17,955,Lützelflüh,2619726.7211125554,1205975.8154118883
18,608,Grosshöchstetten,2614013.041435616,1195110.512327211
19,388,Leuzigen,2602121.86460313,1224439.2098287388
20,748,Schwadernau,2590792.4603425306,1219217.7571194817
21,717,Valbirse,2587263.4411787433,1231880.827160261
22,580,Hofstetten bei Brienz,2648982.897645296,1179719.1819394666
23,533,Bätterkinden,2606922.6619962957,1220662.7548344068
24,592,Schwanden bei Brienz,2647128.592173759,1180174.2112175506
25,579,Habkern,2634486.4392260527,1178306.5732076876
26,723,La Neuveville,2574402.7858648156,1213865.6971674631
27,927,Heiligenschwendi,2618616.9507589256,1177899.6796696198
28,932,Horrenbach-Buchen,2626255.2113630497,1180466.2729049537
29,557,Zuzwil (BE),2602178.6901821145,1210975.3951616504
30,607,Freimettigen,2614779.6989267794,1190268.5539243612
31,907,Signau,2622865.748856423,1196086.4482478458
32,404,Burgdorf,2613712.8910707277,1211421.583846631
33,942,Thun,2614028.462739233,1177283.9840279368
34,614,Linden,2618932.4084044695,1188619.4011169279
35,709,Seehof,2606221.5695256945,1239152.1411674146
36,450,Péry-La Heutte,2585547.0524090496,1227206.1859596714
37,387,Lengnau (BE),2594486.2445987295,1225674.1646559967
38,572,Bönigen,2637146.266375529,1169972.745206144
39,940,Teuffenthal (BE),2620931.5991448625,1179437.8064031391
40,358,Stettlen,2606355.9338428946,1200609.2172593626
41,622,Oppligen,2612055.091312759,1185125.9831270305
42,956,Rüegsau,2619178.1702172533,1209699.3457262828
43,339,Rohrbachgraben,2627647.0864019557,1218074.8542811156
44,954,Huttwil,2630948.468517655,1217496.2231821397
45,746,Safnern,2591152.2864195006,1222377.3489204934
46,310,Rapperswil (BE),2598626.7710850285,1212311.47006226
47,406,Hasle bei Burgdorf,2615551.6472588093,1205266.6479337085
48,738,Jens,2587131.46291492,1216356.5618424849
49,694,Grandval,2599196.8281370006,1236970.0760482454
50,713,Tavannes,2580695.9752815254,1230075.8173627625
51,9152,Lac de Neuchâtel (BE),2569554.5920938607,1204727.6761844952
52,610,Herbligen,2613148.3003082476,1186233.4395196452
53,666,Kriechenwil,2583035.37309909,1195588.745496254
54,784,Innertkirchen,2666297.713707582,1171472.6043711826
55,573,Brienz (BE),2645848.5430417913,1175758.758634632
56,744,Orpund,2589720.9139320375,1221215.0547053996
57,866,Gerzensee,2607889.679272325,1188373.7395128356
58,556,Zielebach,2610186.4550265586,1223009.0839874507
59,924,Eriz,2628491.913124229,1181916.8981346705
60,734,Bühl,2585407.5841561863,1212899.7565140366
61,323,Bannwil,2622101.1760387006,1232002.0825793922
62,584,Lauterbrunnen,2634894.3227179213,1155697.71619848
63,444,Sonceboz-Sombeval,2580285.1168418033,1226762.1953081882
64,704,Roches (BE),2595661.8899340113,1239212.945362141
65,683,Champoz,2590110.508099667,1234449.1030946139
66,941,Thierachern,2610206.505126725,1177777.4651153784
67,442,Romont (BE),2591829.6469135806,1227422.7037422708
68,355,Köniz,2596888.4629568127,1194800.071687553
69,566,Krattigen,2623089.304836208,1166595.4122044116
70,497,Lüscherz,2579056.613011902,1210312.067896793
71,623,Rubigen,2608096.020739294,1194294.2788187177
72,681,Belprahon,2597391.2714638286,1237737.9568763773
73,613,Landiswil,2618322.5846826243,1200502.713887071
74,407,Heimiswil,2617640.1647322546,1212461.1354334648
75,577,Gsteigwiler,2634475.7734144214,1166878.4187598398
76,872,Kirchdorf (BE),2607423.9746289235,1185709.8733581342
77,691,Crémines,2601012.0296142185,1237157.7542670919
78,588,Niederried bei Interlaken,2637254.632048553,1175035.7669528273
79,960,Wyssachen,2629072.2036311594,1213729.9887139637
80,449,Sauge,2588559.1734054675,1226261.0655771068
81,562,Aeschi bei Spiez,2623743.625935145,1163631.2518655283
82,9149,Bielersee (BE),2578670.3410127955,1213964.729828367
83,551,Urtenen-Schönbühl,2604644.9224858987,1207916.2615243953
84,324,Bleienbach,2624119.0747378166,1225734.0474300259
85,441,Renan (BE),2559370.988822355,1217878.8312074072
86,448,Villeret,2568337.313659224,1223368.1791866287
87,853,Rüschegg,2597504.3415447148,1177154.8081665286
88,325,Busswil bei Melchnau,2629620.896334164,1226369.0071088916
89,981,Niederbipp,2619639.485655618,1235216.2190520659
90,415,Lyssach,2610635.0439294195,1212861.2467607008
91,880,Rüeggisberg,2599485.868845161,1184914.7943448622
92,306,Lyss,2590796.214198951,1214480.2134372583
93,423,Willadingen,2613373.381940499,1221797.3169406855
94,571,Beatenberg,2627980.14191183,1173804.5357018488
95,971,Attiswil,2613026.345515984,1233608.7659845331
96,740,Ligerz,2577345.8986481493,1215738.5333627386
97,983,Oberbipp,2618086.9815363116,1233707.358238993
98,418,Oberburg,2612763.8790066065,1208015.2685531895
99,901,Eggiwil,2628254.3195177326,1190539.6103244235
100,855,Schwarzenburg,2593545.4674671357,1185658.6485892057
101,783,Hasliberg,2660346.5452204505,1177559.7232921284
102,995,Wiedlisbach,2616127.436066514,1232773.556290013
103,337,Roggwil (BE),2628744.0038636466,1231811.1794267292
104,353,Bremgarten bei Bern,2599759.3341962458,1203001.8100420616
105,495,Gampelen,2570881.4894698486,1206138.9512838458
106,768,Spiez,2617757.373885277,1170616.0070532553
107,877,Niedermuhlern,2601765.882185144,1189612.018674176
108,952,Dürrenroth,2625847.357950188,1214456.3500164088
109,340,Rütschelen,2625194.0653357888,1224520.8662799322
