Energieträger,BfsNumber,Gemeindename,Minergie,Minergie_percentual
464,388,Leuzigen,3,0.646551724137931
230,740,Ligerz,0,0.0
441,614,Linden,3,0.6802721088435374
763,331,Lotzwil,4,0.5242463958060288
145,696,Loveresse,0,0.0
2878,306,Lyss,31,1.0771369006254343
444,415,Lyssach,4,0.9009009009009009
282,497,Lüscherz,0,0.0
138,586,Lütschental,0,0.0
1309,955,Lützelflüh,9,0.6875477463712758
1080,332,Madiswil,4,0.3703703703703704
926,587,Matten bei Interlaken,12,1.2958963282937366
196,543,Mattstetten,0,0.0
21,389,Meienried,1,4.761904761904762
764,307,Meikirch,3,0.3926701570680628
467,390,Meinisberg,1,0.21413276231263384
1674,785,Meiringen,9,0.5376344086021506
534,333,Melchnau,3,0.5617977528089888
150,741,Merzligen,1,0.6666666666666667
196,615,Mirchel,0,0.0
36,437,Mont-Tramelan,0,0.0
686,544,Moosseedorf,24,3.498542274052478
1711,700,Moutier,5,0.29222676797194624
3290,356,Muri bei Bern,30,0.911854103343465
316,742,Mörigen,2,0.6329113924050633
907,668,Mühleberg,6,0.6615214994487321
1830,546,Münchenbuchsee,30,1.639344262295082
197,669,Münchenwiler,0,0.0
2683,616,Münsingen,38,1.4163250093179278
417,498,Müntschemier,3,0.7194244604316548
1498,670,Neuenegg,19,1.268357810413885
972,743,Nidau,7,0.720164609053498
1477,981,Niederbipp,13,0.8801624915368992
172,617,Niederhünigen,1,0.5813953488372093
163,877,Niedermuhlern,0,0.0
209,588,Niederried bei Interlaken,1,0.4784688995215311
454,982,Niederönz,4,0.881057268722467
328,724,Nods,4,1.2195121951219512
275,357,Oberbalm,1,0.36363636363636365
582,983,Oberbipp,9,1.5463917525773196
728,418,Oberburg,0,0.0
1015,619,Oberdiessbach,2,0.19704433497536944
780,934,Oberhofen am Thunersee,9,1.153846153846154
104,629,Oberhünigen,0,0.0
152,935,Oberlangenegg,0,0.0
260,589,Oberried am Brienzersee,0,0.0
262,620,Oberthal,1,0.38167938931297707
302,391,Oberwil bei Büren,3,0.9933774834437087
374,766,Oberwil im Simmental,0,0.0
230,985,Ochlenberg,1,0.43478260869565216
98,335,Oeschenbach,0,0.0
185,622,Oppligen,3,1.6216216216216217
705,744,Orpund,7,0.9929078014184398
691,438,Orvin,0,0.0
1996,363,Ostermundigen,44,2.2044088176352705
191,701,Perrefitte,0,0.0
191,716,Petit-Val,0,0.0
1029,392,Pieterlen,8,0.7774538386783284
825,726,Plateau de Diesse,3,0.36363636363636365
84,936,Pohlern,0,0.0
872,745,Port,1,0.11467889908256881
601,450,Péry-La Heutte,0,0.0
444,309,Radelfingen,4,0.9009009009009009
964,310,Rapperswil (BE),1,0.1037344398340249
16,715,Rebévelier,0,0.0
690,703,Reconvilier,1,0.14492753623188406
1767,567,Reichenbach im Kandertal,0,0.0
73,336,Reisiswil,0,0.0
291,441,Renan (BE),0,0.0
424,767,Reutigen,1,0.2358490566037736
975,879,Riggisberg,8,0.8205128205128205
1358,590,Ringgenberg (BE),9,0.6627393225331369
84,704,Roches (BE),0,0.0
1346,337,Roggwil (BE),10,0.7429420505200593
481,338,Rohrbach,4,0.8316008316008316
135,339,Rohrbachgraben,0,0.0
107,442,Romont (BE),0,0.0
785,623,Rubigen,4,0.5095541401273885
44,421,Rumendingen,1,2.272727272727273
222,987,Rumisberg,0,0.0
426,904,Röthenbach im Emmental,0,0.0
732,905,Rüderswil,5,0.6830601092896175
467,420,Rüdtligen-Alchenflüh,2,0.4282655246252677
740,880,Rüeggisberg,0,0.0
868,956,Rüegsau,1,0.1152073732718894
816,853,Rüschegg,1,0.12254901960784313
297,393,Rüti bei Büren,1,0.33670033670033667
57,422,Rüti bei Lyssach,0,0.0
219,340,Rütschelen,0,0.0
3529,843,Saanen,4,0.11334655709832814
649,746,Safnern,2,0.30816640986132515
265,706,Saicourt,0,0.0
1208,443,Saint-Imier,3,0.24834437086092717
445,449,Sauge,0,0.0
74,707,Saules (BE),0,0.0
141,591,Saxeten,0,0.0
366,906,Schangnau,0,0.0
293,786,Schattenhalb,0,0.0
15,708,Schelten,0,0.0
186,747,Scheuren,1,0.5376344086021506
243,748,Schwadernau,2,0.823045267489712
278,592,Schwanden bei Brienz,0,0.0
2008,855,Schwarzenburg,3,0.14940239043824702
187,341,Schwarzhäusern,4,2.13903743315508
1039,311,Schüpfen,9,0.8662175168431183
650,988,Seeberg,4,0.6153846153846154
942,312,Seedorf (BE),1,0.10615711252653928
30,709,Seehof,0,0.0
590,883,Seftigen,4,0.6779661016949152
812,907,Signau,2,0.24630541871921183
1987,938,Sigriswil,4,0.20130850528434827
223,499,Siselen,2,0.8968609865470852
530,444,Sonceboz-Sombeval,1,0.18867924528301888
393,445,Sonvilier,0,0.0
125,711,Sorvilier,0,0.0
3642,768,Spiez,38,1.043382756727073
755,793,St. Stephan,0,0.0
3548,939,Steffisburg,41,1.1555806087936866
708,358,Stettlen,10,1.4124293785310735
404,770,Stocken-Höfen,1,0.24752475247524752
638,749,Studen (BE),11,1.7241379310344827
1782,957,Sumiswald,27,1.5151515151515151
447,750,Sutz-Lattrigen,6,1.342281879194631
885,713,Tavannes,4,0.4519774011299435
65,940,Teuffenthal (BE),0,0.0
686,941,Thierachern,4,0.5830903790087464
8323,942,Thun,104,1.249549441307221
1020,342,Thunstetten,10,0.9803921568627451
576,889,Thurnen,4,0.6944444444444444
343,989,Thörigen,2,0.5830903790087464
655,884,Toffen,3,0.45801526717557256
380,958,Trachselwald,2,0.5263157894736842
1363,446,Tramelan,2,0.1467351430667645
155,500,Treiten,1,0.6451612903225806
514,908,Trub,0,0.0
409,909,Trubschachen,2,0.4889975550122249
154,501,Tschugg,0,0.0
488,756,Twann-Tüscherz,10,2.0491803278688523
848,751,Täuffelen,8,0.9433962264150944
225,943,Uebeschi,0,0.0
1643,944,Uetendorf,21,1.278149726110773
325,945,Unterlangenegg,8,2.4615384615384617
1421,593,Unterseen,9,0.633356790992259
308,344,Ursenbach,1,0.3246753246753247
1122,551,Urtenen-Schönbühl,11,0.9803921568627451
563,885,Uttigen,11,1.9538188277087036
1219,552,Utzenstorf,28,2.2969647251845777
1123,717,Valbirse,1,0.08904719501335707
1783,359,Vechigen,12,0.6730229949523275
330,448,Villeret,1,0.30303030303030304
419,502,Vinelz,2,0.47732696897374705
74,946,Wachseldorn,0,0.0
694,888,Wald (BE),12,1.729106628242075
592,626,Walkringen,1,0.16891891891891891
108,990,Walliswil bei Niederbipp,1,0.9259259259259258
230,991,Walliswil bei Wangen,0,0.0
330,754,Walperswil,5,1.5151515151515151
181,959,Walterswil (BE),3,1.6574585635359116
804,992,Wangen an der Aare,13,1.616915422885572
886,886,Wattenwil,5,0.5643340857787811
230,394,Wengi,1,0.43478260869565216
985,632,Wichtrach,10,1.015228426395939
735,995,Wiedlisbach,12,1.6326530612244898
32,553,Wiggiswil,0,0.0
912,594,Wilderswil,3,0.3289473684210526
294,554,Wiler bei Utzenstorf,1,0.3401360544217687
129,671,Wileroltigen,0,0.0
85,423,Willadingen,0,0.0
764,769,Wimmis,8,1.0471204188481675
2153,360,Wohlen bei Bern,26,1.207617278216442
2521,627,Worb,26,1.0313367711225703
604,755,Worben,5,0.8278145695364238
577,345,Wynau,1,0.17331022530329288
701,424,Wynigen,3,0.42796005706134094
413,960,Wyssachen,0,0.0
118,556,Zielebach,0,0.0
1750,361,Zollikofen,39,2.2285714285714286
188,557,Zuzwil (BE),3,1.5957446808510638
1338,794,Zweisimmen,9,0.672645739910314
474,628,Zäziwil,2,0.42194092827004215
