GGDENAME,Energieträger_Label,Anzahl
Hilterfingen,Weitere,144
Hindelbank,Elektrizität,49
Hindelbank,Fernwärme,39
Hindelbank,Gas,2
Hindelbank,Geothermie,1
Hindelbank,Heizöl,321
Hindelbank,Holz,75
Hindelbank,Keine,14
Hindelbank,Luft,30
Hindelbank,Wasser,4
Hindelbank,Weitere,87
Hofstetten bei Brienz,Elektrizität,6
Hofstetten bei Brienz,Fernwärme,7
Hofstetten bei Brienz,Gas,1
Hofstetten bei Brienz,Heizöl,105
Hofstetten bei Brienz,Holz,93
Hofstetten bei Brienz,Keine,26
Hofstetten bei Brienz,Luft,17
Hofstetten bei Brienz,Sonne,3
Hofstetten bei Brienz,Wasser,1
Hofstetten bei Brienz,Weitere,17
Homberg,Elektrizität,7
Homberg,Fernwärme,1
Homberg,Heizöl,30
Homberg,Holz,87
Homberg,Keine,10
Homberg,Luft,3
Homberg,Weitere,16
Horrenbach-Buchen,Elektrizität,5
Horrenbach-Buchen,Heizöl,13
Horrenbach-Buchen,Holz,86
Horrenbach-Buchen,Keine,7
Horrenbach-Buchen,Luft,1
Huttwil,Elektrizität,22
Huttwil,Fernwärme,155
Huttwil,Gas,7
Huttwil,Geothermie,83
Huttwil,Heizöl,563
Huttwil,Holz,267
Huttwil,Keine,79
Huttwil,Luft,269
Huttwil,Sonne,2
Huttwil,Wasser,2
Huttwil,Weitere,40
Häutligen,Elektrizität,4
Häutligen,Gas,1
Häutligen,Geothermie,1
Häutligen,Heizöl,10
Häutligen,Holz,41
Häutligen,Keine,4
Häutligen,Luft,3
Häutligen,Weitere,10
Höchstetten,Elektrizität,7
Höchstetten,Fernwärme,5
Höchstetten,Gas,1
Höchstetten,Heizöl,38
Höchstetten,Holz,28
Höchstetten,Keine,53
Höchstetten,Luft,6
Höchstetten,Weitere,12
Iffwil,Elektrizität,3
Iffwil,Fernwärme,17
Iffwil,Geothermie,1
Iffwil,Heizöl,50
Iffwil,Holz,33
Iffwil,Keine,3
Iffwil,Luft,2
Iffwil,Weitere,18
Inkwil,Elektrizität,22
Inkwil,Fernwärme,1
Inkwil,Heizöl,108
Inkwil,Holz,36
Inkwil,Keine,8
Inkwil,Luft,40
Inkwil,Sonne,5
Inkwil,Weitere,49
Innertkirchen,Elektrizität,45
Innertkirchen,Fernwärme,7
Innertkirchen,Gas,2
Innertkirchen,Geothermie,2
Innertkirchen,Heizöl,183
Innertkirchen,Holz,394
Innertkirchen,Keine,46
Innertkirchen,Luft,21
Innertkirchen,Sonne,4
Innertkirchen,Wasser,1
Innertkirchen,Weitere,61
Ins,Elektrizität,29
Ins,Fernwärme,10
Ins,Gas,139
Ins,Geothermie,27
Ins,Heizöl,343
Ins,Holz,94
Ins,Keine,65
Ins,Luft,72
Ins,Weitere,224
Interlaken,Elektrizität,57
Interlaken,Fernwärme,95
Interlaken,Gas,231
Interlaken,Geothermie,4
Interlaken,Heizöl,565
Interlaken,Holz,44
Interlaken,Keine,30
Interlaken,Luft,25
Interlaken,Sonne,1
Interlaken,Wasser,4
Interlaken,Weitere,89
Ipsach,Elektrizität,41
Ipsach,Fernwärme,1
Ipsach,Gas,200
Ipsach,Geothermie,19
Ipsach,Heizöl,296
Ipsach,Holz,23
Ipsach,Keine,20
Ipsach,Luft,49
Ipsach,Weitere,102
Iseltwald,Elektrizität,18
Iseltwald,Fernwärme,2
Iseltwald,Gas,2
Iseltwald,Heizöl,106
Iseltwald,Holz,127
Iseltwald,Keine,3
Iseltwald,Luft,12
Iseltwald,Sonne,2
Iseltwald,Weitere,27
Ittigen,Elektrizität,131
Ittigen,Fernwärme,23
Ittigen,Gas,280
Ittigen,Geothermie,38
Ittigen,Heizöl,957
Ittigen,Holz,65
Ittigen,Keine,19
Ittigen,Luft,41
Ittigen,Sonne,1
Ittigen,Weitere,129
Jaberg,Elektrizität,3
Jaberg,Fernwärme,1
Jaberg,Geothermie,1
Jaberg,Heizöl,56
Jaberg,Holz,17
Jaberg,Keine,6
Jaberg,Luft,6
Jaberg,Weitere,15
Jegenstorf,Elektrizität,37
Jegenstorf,Fernwärme,164
Jegenstorf,Gas,98
Jegenstorf,Geothermie,105
Jegenstorf,Heizöl,528
Jegenstorf,Holz,129
Jegenstorf,Keine,12
Jegenstorf,Luft,106
Jegenstorf,Sonne,3
Jegenstorf,Weitere,183
Jens,Elektrizität,22
Jens,Geothermie,7
Jens,Heizöl,119
Jens,Holz,33
Jens,Keine,19
Jens,Luft,26
Jens,Sonne,1
Jens,Weitere,37
Kallnach,Elektrizität,37
Kallnach,Fernwärme,6
Kallnach,Geothermie,4
Kallnach,Heizöl,312
Kallnach,Holz,139
Kallnach,Keine,25
Kallnach,Luft,37
Kallnach,Sonne,3
Kallnach,Wasser,2
Kallnach,Weitere,153
Kandergrund,Elektrizität,10
Kandergrund,Fernwärme,3
Kandergrund,Gas,1
Kandergrund,Heizöl,136
Kandergrund,Holz,260
Kandergrund,Keine,248
Kandergrund,Luft,5
Kandergrund,Sonne,1
Kandergrund,Wasser,4
Kandergrund,Weitere,23
Kandersteg,Elektrizität,75
Kandersteg,Fernwärme,24
Kandersteg,Heizöl,398
Kandersteg,Holz,195
Kandersteg,Keine,37
Kandersteg,Luft,18
Kandersteg,Weitere,54
Kappelen,Elektrizität,27
Kappelen,Fernwärme,2
Kappelen,Gas,3
Kappelen,Geothermie,4
Kappelen,Heizöl,176
Kappelen,Holz,60
Kappelen,Keine,25
Kappelen,Luft,27
Kappelen,Wasser,5
Kappelen,Weitere,95
Kaufdorf,Elektrizität,21
Kaufdorf,Fernwärme,1
Kaufdorf,Geothermie,10
Kaufdorf,Heizöl,192
Kaufdorf,Holz,34
Kaufdorf,Keine,9
Kaufdorf,Luft,30
Kaufdorf,Sonne,1
Kaufdorf,Weitere,36
Kehrsatz,Elektrizität,93
Kehrsatz,Fernwärme,2
Kehrsatz,Gas,3
Kehrsatz,Geothermie,17
Kehrsatz,Heizöl,406
Kehrsatz,Holz,81
Kehrsatz,Keine,7
Kehrsatz,Luft,63
Kehrsatz,Sonne,8
Kehrsatz,Weitere,107
Kernenried,Elektrizität,5
Kernenried,Fernwärme,12
Kernenried,Heizöl,72
Kernenried,Holz,33
Kernenried,Keine,5
Kernenried,Luft,8
Kernenried,Weitere,15
Kiesen,Elektrizität,17
Kiesen,Fernwärme,2
Kiesen,Geothermie,1
Kiesen,Heizöl,111
Kiesen,Holz,35
Kiesen,Keine,5
Kiesen,Luft,6
Kiesen,Wasser,3
Kiesen,Weitere,65
Kirchberg (BE),Elektrizität,44
Kirchberg (BE),Fernwärme,48
Kirchberg (BE),Gas,406
Kirchberg (BE),Geothermie,6
Kirchberg (BE),Heizöl,440
Kirchberg (BE),Holz,102
Kirchberg (BE),Keine,27
Kirchberg (BE),Luft,58
Kirchberg (BE),Sonne,1
Kirchberg (BE),Wasser,3
Kirchberg (BE),Weitere,244
Kirchdorf (BE),Elektrizität,23
Kirchdorf (BE),Fernwärme,15
Kirchdorf (BE),Gas,1
Kirchdorf (BE),Geothermie,14
Kirchdorf (BE),Heizöl,202
Kirchdorf (BE),Holz,121
Kirchdorf (BE),Keine,20
Kirchdorf (BE),Luft,38
Kirchdorf (BE),Sonne,2
Kirchdorf (BE),Weitere,130
Kirchlindach,Elektrizität,69
Kirchlindach,Fernwärme,150
Kirchlindach,Gas,13
Kirchlindach,Geothermie,42
Kirchlindach,Heizöl,318
Kirchlindach,Holz,95
Kirchlindach,Keine,24
Kirchlindach,Luft,37
Kirchlindach,Sonne,3
Kirchlindach,Weitere,95
Konolfingen,Elektrizität,59
Konolfingen,Fernwärme,11
Konolfingen,Gas,10
Konolfingen,Geothermie,39
Konolfingen,Heizöl,569
Konolfingen,Holz,207
Konolfingen,Keine,93
Konolfingen,Luft,55
Konolfingen,Sonne,8
Konolfingen,Wasser,6
Konolfingen,Weitere,220
Koppigen,Elektrizität,32
Koppigen,Fernwärme,30
Koppigen,Gas,5
Koppigen,Heizöl,321
Koppigen,Holz,78
Koppigen,Keine,47
Koppigen,Luft,42
Koppigen,Sonne,1
Koppigen,Wasser,15
Koppigen,Weitere,118
Krattigen,Elektrizität,37
Krattigen,Fernwärme,3
Krattigen,Gas,1
Krattigen,Heizöl,191
Krattigen,Holz,127
Krattigen,Keine,15
Krattigen,Luft,37
Krattigen,Sonne,4
Krattigen,Weitere,37
Krauchthal,Elektrizität,43
Krauchthal,Fernwärme,33
Krauchthal,Gas,2
Krauchthal,Geothermie,2
Krauchthal,Heizöl,311
Krauchthal,Holz,162
Krauchthal,Keine,10
Krauchthal,Luft,33
Krauchthal,Sonne,1
Krauchthal,Weitere,144
Kriechenwil,Elektrizität,6
Kriechenwil,Fernwärme,8
Kriechenwil,Geothermie,1
Kriechenwil,Heizöl,70
Kriechenwil,Holz,36
Kriechenwil,Keine,6
Kriechenwil,Luft,5
Kriechenwil,Weitere,17
Köniz,Elektrizität,387
Köniz,Fernwärme,331
Köniz,Gas,815
Köniz,Geothermie,1039
Köniz,Heizöl,2977
Köniz,Holz,682
Köniz,Keine,131
Köniz,Luft,594
Köniz,Sonne,7
Köniz,Wasser,10
Köniz,Weitere,299
La Ferrière,Elektrizität,17
La Ferrière,Gas,4
La Ferrière,Heizöl,108
La Ferrière,Holz,65
La Ferrière,Keine,13
La Ferrière,Luft,6
La Ferrière,Sonne,2
La Ferrière,Weitere,14
La Neuveville,Elektrizität,43
La Neuveville,Fernwärme,9
La Neuveville,Gas,3
La Neuveville,Geothermie,5
La Neuveville,Heizöl,614
La Neuveville,Holz,58
La Neuveville,Keine,35
La Neuveville,Luft,64
La Neuveville,Weitere,113
Landiswil,Elektrizität,10
Landiswil,Fernwärme,3
Landiswil,Heizöl,43
Landiswil,Holz,133
Landiswil,Keine,10
Landiswil,Luft,6
Landiswil,Sonne,6
Landiswil,Weitere,7
Langenthal,Elektrizität,78
Langenthal,Fernwärme,23
Langenthal,Gas,1861
Langenthal,Geothermie,9
Langenthal,Heizöl,624
Langenthal,Holz,209
Langenthal,Keine,910
Langenthal,Luft,198
Langenthal,Sonne,13
Langenthal,Wasser,18
Langenthal,Weitere,282
Langnau im Emmental,Elektrizität,113
Langnau im Emmental,Fernwärme,60
Langnau im Emmental,Gas,16
Langnau im Emmental,Geothermie,8
Langnau im Emmental,Heizöl,868
Langnau im Emmental,Holz,745
Langnau im Emmental,Keine,75
Langnau im Emmental,Luft,70
Langnau im Emmental,Sonne,4
Langnau im Emmental,Wasser,4
Langnau im Emmental,Weitere,329
Lauenen,Elektrizität,62
Lauenen,Fernwärme,7
Lauenen,Gas,6
Lauenen,Geothermie,1
Lauenen,Heizöl,122
Lauenen,Holz,199
Lauenen,Keine,21
Lauenen,Sonne,1
Lauenen,Weitere,16
Laupen,Elektrizität,36
Laupen,Fernwärme,34
Laupen,Geothermie,8
Laupen,Heizöl,436
Laupen,Holz,76
Laupen,Keine,11
Laupen,Luft,41
Laupen,Sonne,5
Laupen,Wasser,4
Laupen,Weitere,91
Lauperswil,Elektrizität,42
Lauperswil,Fernwärme,14
Lauperswil,Geothermie,1
Lauperswil,Heizöl,256
Lauperswil,Holz,364
Lauperswil,Keine,32
Lauperswil,Luft,23
Lauperswil,Sonne,1
Lauperswil,Weitere,98
Lauterbrunnen,Elektrizität,137
Lauterbrunnen,Fernwärme,4
Lauterbrunnen,Gas,6
Lauterbrunnen,Geothermie,1
Lauterbrunnen,Heizöl,904
Lauterbrunnen,Holz,433
Lauterbrunnen,Keine,24
Lauterbrunnen,Luft,50
Lauterbrunnen,Sonne,5
Lauterbrunnen,Wasser,2
Lauterbrunnen,Weitere,27
Leissigen,Elektrizität,43
Leissigen,Gas,1
Leissigen,Geothermie,3
Leissigen,Heizöl,195
Leissigen,Holz,110
Leissigen,Keine,11
Leissigen,Luft,36
Leissigen,Sonne,2
Leissigen,Weitere,87
Lengnau (BE),Elektrizität,42
Lengnau (BE),Fernwärme,73
Lengnau (BE),Gas,423
Lengnau (BE),Geothermie,12
Lengnau (BE),Heizöl,482
Lengnau (BE),Holz,32
Lengnau (BE),Keine,24
Lengnau (BE),Luft,90
Lengnau (BE),Weitere,183
Lenk,Elektrizität,253
Lenk,Fernwärme,10
Lenk,Gas,7
Lenk,Geothermie,1
Lenk,Heizöl,625
Lenk,Holz,585
Lenk,Keine,911
Lenk,Luft,73
Lenk,Sonne,5
Lenk,Wasser,2
Lenk,Weitere,148
Leuzigen,Elektrizität,12
Leuzigen,Gas,18
Leuzigen,Geothermie,13
Leuzigen,Heizöl,221
Leuzigen,Holz,71
Leuzigen,Keine,29
Leuzigen,Luft,48
Leuzigen,Sonne,1
Leuzigen,Wasser,1
Leuzigen,Weitere,50
Ligerz,Elektrizität,14
Ligerz,Fernwärme,24
Ligerz,Geothermie,1
Ligerz,Heizöl,102
Ligerz,Holz,16
Ligerz,Keine,4
Ligerz,Luft,30
Ligerz,Weitere,39
Linden,Elektrizität,12
Linden,Fernwärme,41
Linden,Geothermie,6
Linden,Heizöl,111
Linden,Holz,168
Linden,Keine,34
Linden,Luft,19
Linden,Weitere,50
Lotzwil,Elektrizität,14
Lotzwil,Fernwärme,11
Lotzwil,Gas,418
Lotzwil,Geothermie,1
Lotzwil,Heizöl,140
Lotzwil,Holz,56
Lotzwil,Keine,13
Lotzwil,Luft,47
Lotzwil,Sonne,2
Lotzwil,Wasser,1
Lotzwil,Weitere,60
Loveresse,Elektrizität,12
Loveresse,Fernwärme,1
Loveresse,Heizöl,67
Loveresse,Holz,23
Loveresse,Keine,10
Loveresse,Luft,6
Loveresse,Sonne,2
Loveresse,Weitere,24
Lyss,Elektrizität,145
Lyss,Fernwärme,109
Lyss,Gas,629
Lyss,Geothermie,29
Lyss,Heizöl,1123
Lyss,Holz,161
Lyss,Keine,87
Lyss,Luft,114
Lyss,Sonne,18
Lyss,Wasser,11
Lyss,Weitere,452
Lyssach,Elektrizität,25
Lyssach,Fernwärme,30
Lyssach,Gas,79
Lyssach,Heizöl,157
Lyssach,Holz,54
Lyssach,Keine,27
Lyssach,Luft,33
Lyssach,Sonne,2
Lyssach,Wasser,7
Lyssach,Weitere,30
Lüscherz,Elektrizität,46
Lüscherz,Gas,4
Lüscherz,Geothermie,11
Lüscherz,Heizöl,97
Lüscherz,Holz,34
Lüscherz,Keine,16
Lüscherz,Luft,28
Lüscherz,Weitere,46
Lütschental,Elektrizität,12
Lütschental,Gas,1
Lütschental,Heizöl,28
Lütschental,Holz,73
Lütschental,Keine,6
Lütschental,Luft,10
Lütschental,Weitere,8
Lützelflüh,Elektrizität,48
Lützelflüh,Fernwärme,77
Lützelflüh,Gas,5
Lützelflüh,Geothermie,7
Lützelflüh,Heizöl,469
Lützelflüh,Holz,394
Lützelflüh,Keine,74
Lützelflüh,Luft,91
Lützelflüh,Sonne,6
Lützelflüh,Wasser,2
Lützelflüh,Weitere,136
Madiswil,Elektrizität,68
Madiswil,Fernwärme,22
Madiswil,Gas,23
Madiswil,Geothermie,8
Madiswil,Heizöl,355
Madiswil,Holz,302
Madiswil,Keine,48
Madiswil,Luft,45
Madiswil,Weitere,209
Matten bei Interlaken,Elektrizität,45
Matten bei Interlaken,Fernwärme,73
Matten bei Interlaken,Gas,133
Matten bei Interlaken,Heizöl,443
Matten bei Interlaken,Holz,66
Matten bei Interlaken,Keine,39
Matten bei Interlaken,Luft,26
Matten bei Interlaken,Sonne,2
Matten bei Interlaken,Weitere,99
Mattstetten,Elektrizität,12
Mattstetten,Fernwärme,6
Mattstetten,Gas,1
Mattstetten,Geothermie,1
Mattstetten,Heizöl,119
Mattstetten,Holz,23
Mattstetten,Keine,6
Mattstetten,Luft,18
Mattstetten,Weitere,10
Meienried,Heizöl,13
Meienried,Holz,5
Meienried,Luft,2
Meienried,Weitere,1
Meikirch,Elektrizität,76
Meikirch,Fernwärme,18
Meikirch,Gas,2
Meikirch,Geothermie,55
Meikirch,Heizöl,317
Meikirch,Holz,126
Meikirch,Keine,47
Meikirch,Luft,51
Meikirch,Sonne,1
Meikirch,Weitere,71
Meinisberg,Elektrizität,24
Meinisberg,Fernwärme,13
Meinisberg,Gas,1
Meinisberg,Geothermie,3
Meinisberg,Heizöl,262
Meinisberg,Holz,22
Meinisberg,Keine,13
Meinisberg,Luft,43
Meinisberg,Sonne,1
Meinisberg,Weitere,85
Meiringen,Elektrizität,29
Meiringen,Fernwärme,119
Meiringen,Gas,4
Meiringen,Geothermie,11
Meiringen,Heizöl,784
Meiringen,Holz,323
Meiringen,Keine,101
Meiringen,Luft,54
Meiringen,Sonne,3
Meiringen,Wasser,12
Meiringen,Weitere,234
Melchnau,Elektrizität,25
Melchnau,Fernwärme,99
Melchnau,Gas,8
Melchnau,Geothermie,9
Melchnau,Heizöl,166
Melchnau,Holz,101
Melchnau,Keine,24
Melchnau,Luft,45
Melchnau,Sonne,2
Melchnau,Weitere,55
Merzligen,Elektrizität,15
Merzligen,Fernwärme,2
Merzligen,Geothermie,4
Merzligen,Heizöl,64
Merzligen,Holz,20
Merzligen,Keine,2
Merzligen,Luft,12
Merzligen,Sonne,1
Merzligen,Weitere,30
Mirchel,Elektrizität,2
Mirchel,Fernwärme,2
Mirchel,Geothermie,2
Mirchel,Heizöl,70
Mirchel,Holz,54
Mirchel,Keine,23
Mirchel,Luft,10
Mirchel,Weitere,33
Mont-Tramelan,Elektrizität,1
Mont-Tramelan,Heizöl,9
Mont-Tramelan,Holz,20
Mont-Tramelan,Keine,2
Mont-Tramelan,Luft,3
Mont-Tramelan,Weitere,1
Moosseedorf,Elektrizität,25
Moosseedorf,Fernwärme,6
Moosseedorf,Gas,296
Moosseedorf,Geothermie,2
Moosseedorf,Heizöl,199
Moosseedorf,Holz,65
Moosseedorf,Keine,18
Moosseedorf,Luft,22
Moosseedorf,Sonne,2
Moosseedorf,Weitere,51
Moutier,Elektrizität,41
Moutier,Fernwärme,2
Moutier,Gas,10
Moutier,Geothermie,8
Moutier,Heizöl,1234
Moutier,Holz,91
Moutier,Keine,24
Moutier,Luft,183
Moutier,Sonne,1
Moutier,Weitere,117
Muri bei Bern,Elektrizität,163
Muri bei Bern,Fernwärme,78
Muri bei Bern,Gas,873
Muri bei Bern,Geothermie,37
Muri bei Bern,Heizöl,1135
Muri bei Bern,Holz,51
Muri bei Bern,Keine,648
Muri bei Bern,Luft,81
Muri bei Bern,Sonne,2
Muri bei Bern,Weitere,222
Mörigen,Elektrizität,28
Mörigen,Fernwärme,2
Mörigen,Gas,2
Mörigen,Geothermie,10
Mörigen,Heizöl,177
Mörigen,Holz,25
Mörigen,Keine,6
Mörigen,Luft,25
Mörigen,Sonne,1
Mörigen,Weitere,40
Mühleberg,Elektrizität,110
Mühleberg,Fernwärme,36
Mühleberg,Gas,3
Mühleberg,Geothermie,8
Mühleberg,Heizöl,415
Mühleberg,Holz,163
Mühleberg,Keine,15
Mühleberg,Luft,60
Mühleberg,Sonne,2
Mühleberg,Wasser,1
Mühleberg,Weitere,94
Münchenbuchsee,Elektrizität,38
Münchenbuchsee,Fernwärme,260
Münchenbuchsee,Gas,22
Münchenbuchsee,Geothermie,46
Münchenbuchsee,Heizöl,1077
Münchenbuchsee,Holz,107
Münchenbuchsee,Keine,24
Münchenbuchsee,Luft,100
Münchenbuchsee,Sonne,3
Münchenbuchsee,Wasser,1
Münchenbuchsee,Weitere,152
Münchenwiler,Elektrizität,7
Münchenwiler,Gas,1
Münchenwiler,Geothermie,11
Münchenwiler,Heizöl,92
Münchenwiler,Holz,11
Münchenwiler,Keine,5
Münchenwiler,Luft,8
Münchenwiler,Weitere,62
Münsingen,Elektrizität,57
Münsingen,Fernwärme,153
Münsingen,Gas,34
Münsingen,Geothermie,260
Münsingen,Heizöl,1219
Münsingen,Holz,187
Münsingen,Keine,57
Münsingen,Luft,210
Münsingen,Sonne,3
Münsingen,Wasser,236
Münsingen,Weitere,267
Müntschemier,Elektrizität,13
Müntschemier,Fernwärme,5
Müntschemier,Geothermie,21
Müntschemier,Heizöl,205
Müntschemier,Holz,17
Müntschemier,Keine,15
Müntschemier,Luft,45
Müntschemier,Sonne,2
Müntschemier,Wasser,1
Müntschemier,Weitere,93
Neuenegg,Elektrizität,114
Neuenegg,Fernwärme,8
Neuenegg,Gas,15
Neuenegg,Geothermie,30
Neuenegg,Heizöl,621
Neuenegg,Holz,226
Neuenegg,Keine,159
Neuenegg,Luft,102
Neuenegg,Wasser,6
Neuenegg,Weitere,217
Nidau,Elektrizität,19
Nidau,Fernwärme,34
Nidau,Gas,411
Nidau,Geothermie,1
Nidau,Heizöl,404
Nidau,Holz,29
Nidau,Keine,6
Nidau,Luft,46
Nidau,Sonne,3
Nidau,Wasser,1
Nidau,Weitere,18
Niederbipp,Elektrizität,62
Niederbipp,Fernwärme,47
Niederbipp,Gas,86
Niederbipp,Geothermie,2
Niederbipp,Heizöl,765
Niederbipp,Holz,124
Niederbipp,Keine,52
Niederbipp,Luft,144
Niederbipp,Sonne,3
Niederbipp,Weitere,192
Niederhünigen,Elektrizität,3
Niederhünigen,Fernwärme,1
Niederhünigen,Geothermie,5
Niederhünigen,Heizöl,56
Niederhünigen,Holz,65
Niederhünigen,Keine,11
Niederhünigen,Luft,9
Niederhünigen,Sonne,1
Niederhünigen,Weitere,21
Niedermuhlern,Elektrizität,4
Niedermuhlern,Geothermie,1
Niedermuhlern,Heizöl,53
Niedermuhlern,Holz,77
Niedermuhlern,Keine,1
Niedermuhlern,Luft,3
Niedermuhlern,Weitere,24
Niederried bei Interlaken,Elektrizität,12
Niederried bei Interlaken,Fernwärme,1
Niederried bei Interlaken,Gas,1
Niederried bei Interlaken,Geothermie,1
Niederried bei Interlaken,Heizöl,94
Niederried bei Interlaken,Holz,44
Niederried bei Interlaken,Keine,3
Niederried bei Interlaken,Luft,16
Niederried bei Interlaken,Sonne,1
Niederried bei Interlaken,Weitere,36
Niederönz,Elektrizität,19
Niederönz,Fernwärme,1
Niederönz,Gas,121
Niederönz,Geothermie,3
Niederönz,Heizöl,146
Niederönz,Holz,40
Niederönz,Keine,12
Niederönz,Luft,51
Niederönz,Wasser,2
Niederönz,Weitere,59
Nods,Elektrizität,24
Nods,Fernwärme,2
Nods,Gas,11
Nods,Heizöl,142
Nods,Holz,86
Nods,Keine,8
Nods,Luft,7
Nods,Sonne,1
Nods,Weitere,47
Oberbalm,Elektrizität,13
Oberbalm,Fernwärme,8
Oberbalm,Geothermie,2
Oberbalm,Heizöl,61
Oberbalm,Holz,170
Oberbalm,Keine,2
Oberbalm,Luft,5
Oberbalm,Sonne,1
Oberbalm,Weitere,13
Oberbipp,Elektrizität,19
Oberbipp,Fernwärme,3
Oberbipp,Gas,9
Oberbipp,Geothermie,1
Oberbipp,Heizöl,251
Oberbipp,Holz,49
Oberbipp,Keine,33
Oberbipp,Luft,68
Oberbipp,Sonne,4
Oberbipp,Weitere,145
Oberburg,Elektrizität,14
Oberburg,Fernwärme,3
Oberburg,Gas,194
Oberburg,Geothermie,1
Oberburg,Heizöl,208
Oberburg,Holz,162
Oberburg,Keine,19
Oberburg,Luft,69
Oberburg,Sonne,1
Oberburg,Wasser,4
Oberburg,Weitere,52
Oberdiessbach,Elektrizität,42
Oberdiessbach,Fernwärme,32
Oberdiessbach,Gas,3
Oberdiessbach,Geothermie,5
Oberdiessbach,Heizöl,468
Oberdiessbach,Holz,204
Oberdiessbach,Keine,17
Oberdiessbach,Luft,32
Oberdiessbach,Sonne,1
Oberdiessbach,Weitere,211
Oberhofen am Thunersee,Elektrizität,50
Oberhofen am Thunersee,Gas,163
Oberhofen am Thunersee,Geothermie,34
Oberhofen am Thunersee,Heizöl,325
Oberhofen am Thunersee,Holz,53
Oberhofen am Thunersee,Keine,16
Oberhofen am Thunersee,Luft,43
Oberhofen am Thunersee,Sonne,2
Oberhofen am Thunersee,Wasser,2
Oberhofen am Thunersee,Weitere,92
Oberhünigen,Elektrizität,3
Oberhünigen,Fernwärme,2
Oberhünigen,Geothermie,1
Oberhünigen,Heizöl,24
Oberhünigen,Holz,53
Oberhünigen,Keine,7
Oberhünigen,Luft,2
Oberhünigen,Weitere,12
Oberlangenegg,Elektrizität,11
Oberlangenegg,Fernwärme,3
Oberlangenegg,Gas,4
Oberlangenegg,Geothermie,1
Oberlangenegg,Heizöl,34
Oberlangenegg,Holz,77
Oberlangenegg,Keine,4
Oberlangenegg,Luft,3
Oberlangenegg,Weitere,15
Oberried am Brienzersee,Elektrizität,9
Oberried am Brienzersee,Heizöl,120
Oberried am Brienzersee,Holz,71
Oberried am Brienzersee,Keine,7
Oberried am Brienzersee,Luft,15
Oberried am Brienzersee,Wasser,1
Oberried am Brienzersee,Weitere,37
Oberthal,Elektrizität,20
Oberthal,Fernwärme,1
Oberthal,Gas,2
Oberthal,Geothermie,2
Oberthal,Heizöl,43
Oberthal,Holz,165
Oberthal,Keine,6
Oberthal,Luft,5
Oberthal,Sonne,3
Oberthal,Weitere,15
Oberwil bei Büren,Elektrizität,19
Oberwil bei Büren,Fernwärme,12
Oberwil bei Büren,Gas,3
Oberwil bei Büren,Geothermie,3
Oberwil bei Büren,Heizöl,129
Oberwil bei Büren,Holz,67
Oberwil bei Büren,Keine,1
Oberwil bei Büren,Luft,17
Oberwil bei Büren,Sonne,1
Oberwil bei Büren,Weitere,50
Oberwil im Simmental,Elektrizität,17
Oberwil im Simmental,Fernwärme,2
Oberwil im Simmental,Geothermie,2
Oberwil im Simmental,Heizöl,90
Oberwil im Simmental,Holz,220
Oberwil im Simmental,Keine,21
Oberwil im Simmental,Luft,11
Oberwil im Simmental,Sonne,1
Oberwil im Simmental,Weitere,10
Ochlenberg,Elektrizität,5
Ochlenberg,Fernwärme,1
Ochlenberg,Gas,3
Ochlenberg,Geothermie,3
Ochlenberg,Heizöl,31
Ochlenberg,Holz,149
Ochlenberg,Keine,14
Ochlenberg,Luft,13
Ochlenberg,Wasser,1
Ochlenberg,Weitere,10
Oeschenbach,Elektrizität,3
Oeschenbach,Fernwärme,2
Oeschenbach,Heizöl,24
Oeschenbach,Holz,57
Oeschenbach,Keine,8
Oeschenbach,Luft,2
Oeschenbach,Weitere,2
Oppligen,Elektrizität,11
Oppligen,Fernwärme,1
Oppligen,Geothermie,4
Oppligen,Heizöl,79
Oppligen,Holz,40
Oppligen,Keine,8
Oppligen,Luft,14
Oppligen,Sonne,1
Oppligen,Wasser,1
Oppligen,Weitere,26
Orpund,Elektrizität,40
Orpund,Fernwärme,4
Orpund,Gas,79
Orpund,Geothermie,13
Orpund,Heizöl,339
Orpund,Holz,40
Orpund,Keine,31
Orpund,Luft,60
Orpund,Weitere,99
Orvin,Elektrizität,70
Orvin,Fernwärme,5
Orvin,Gas,3
Orvin,Heizöl,298
Orvin,Holz,195
Orvin,Keine,36
Orvin,Luft,36
Orvin,Weitere,48
Ostermundigen,Elektrizität,65
Ostermundigen,Fernwärme,43
Ostermundigen,Gas,453
Ostermundigen,Geothermie,43
Ostermundigen,Heizöl,1027
Ostermundigen,Holz,57
Ostermundigen,Keine,25
Ostermundigen,Luft,79
Ostermundigen,Sonne,3
Ostermundigen,Wasser,4
Ostermundigen,Weitere,197
Perrefitte,Elektrizität,6
Perrefitte,Gas,1
Perrefitte,Geothermie,2
Perrefitte,Heizöl,118
Perrefitte,Holz,33
Perrefitte,Keine,4
Perrefitte,Luft,10
Perrefitte,Weitere,17
Petit-Val,Fernwärme,9
Petit-Val,Gas,1
Petit-Val,Heizöl,52
Petit-Val,Holz,107
Petit-Val,Keine,10
Petit-Val,Luft,6
Petit-Val,Weitere,6
Pieterlen,Elektrizität,86
Pieterlen,Fernwärme,75
Pieterlen,Gas,2
Pieterlen,Geothermie,3
Pieterlen,Heizöl,483
Pieterlen,Holz,68
Pieterlen,Keine,15
Pieterlen,Luft,59
