GGDENAME,Energieträger_Label,Anzahl
Bettenhausen,Geothermie,1
Bettenhausen,Heizöl,64
Bettenhausen,Holz,45
Bettenhausen,Keine,3
Bettenhausen,Luft,21
Bettenhausen,Weitere,26
Biel/Bienne,Elektrizität,134
Biel/Bienne,Fernwärme,221
Biel/Bienne,Gas,3972
Biel/Bienne,Geothermie,20
Biel/Bienne,Heizöl,2221
Biel/Bienne,Holz,158
Biel/Bienne,Keine,1838
Biel/Bienne,Luft,201
Biel/Bienne,Sonne,5
Biel/Bienne,Wasser,32
Biel/Bienne,Weitere,302
Biglen,Elektrizität,18
Biglen,Gas,3
Biglen,Geothermie,3
Biglen,Heizöl,248
Biglen,Holz,73
Biglen,Keine,15
Biglen,Luft,16
Biglen,Sonne,3
Biglen,Wasser,1
Biglen,Weitere,88
Bleienbach,Elektrizität,11
Bleienbach,Gas,3
Bleienbach,Geothermie,4
Bleienbach,Heizöl,99
Bleienbach,Holz,59
Bleienbach,Keine,1
Bleienbach,Luft,35
Bleienbach,Sonne,1
Bleienbach,Wasser,1
Bleienbach,Weitere,38
Blumenstein,Elektrizität,11
Blumenstein,Fernwärme,12
Blumenstein,Geothermie,1
Blumenstein,Heizöl,166
Blumenstein,Holz,133
Blumenstein,Keine,20
Blumenstein,Luft,15
Blumenstein,Sonne,3
Blumenstein,Weitere,39
Bolligen,Elektrizität,96
Bolligen,Fernwärme,314
Bolligen,Gas,1
Bolligen,Geothermie,61
Bolligen,Heizöl,674
Bolligen,Holz,145
Bolligen,Keine,35
Bolligen,Luft,66
Bolligen,Weitere,250
Boltigen,Elektrizität,44
Boltigen,Fernwärme,8
Boltigen,Heizöl,197
Boltigen,Holz,333
Boltigen,Keine,40
Boltigen,Luft,22
Boltigen,Sonne,4
Boltigen,Weitere,11
Bowil,Elektrizität,11
Bowil,Fernwärme,10
Bowil,Gas,2
Bowil,Geothermie,1
Bowil,Heizöl,133
Bowil,Holz,216
Bowil,Keine,14
Bowil,Luft,22
Bowil,Sonne,1
Bowil,Weitere,27
Bremgarten bei Bern,Elektrizität,98
Bremgarten bei Bern,Fernwärme,66
Bremgarten bei Bern,Gas,87
Bremgarten bei Bern,Geothermie,47
Bremgarten bei Bern,Heizöl,558
Bremgarten bei Bern,Holz,67
Bremgarten bei Bern,Keine,4
Bremgarten bei Bern,Luft,69
Bremgarten bei Bern,Sonne,1
Bremgarten bei Bern,Wasser,1
Bremgarten bei Bern,Weitere,127
Brenzikofen,Elektrizität,16
Brenzikofen,Fernwärme,1
Brenzikofen,Geothermie,2
Brenzikofen,Heizöl,63
Brenzikofen,Holz,40
Brenzikofen,Keine,4
Brenzikofen,Luft,11
Brenzikofen,Weitere,19
Brienz (BE),Elektrizität,85
Brienz (BE),Fernwärme,24
Brienz (BE),Gas,5
Brienz (BE),Geothermie,1
Brienz (BE),Heizöl,698
Brienz (BE),Holz,501
Brienz (BE),Keine,73
Brienz (BE),Luft,58
Brienz (BE),Sonne,1
Brienz (BE),Weitere,160
Brienzwiler,Elektrizität,5
Brienzwiler,Heizöl,135
Brienzwiler,Holz,144
Brienzwiler,Keine,7
Brienzwiler,Luft,9
Brienzwiler,Wasser,1
Brienzwiler,Weitere,22
Brügg,Elektrizität,59
Brügg,Fernwärme,11
Brügg,Gas,48
Brügg,Geothermie,9
Brügg,Heizöl,446
Brügg,Holz,69
Brügg,Keine,13
Brügg,Luft,35
Brügg,Sonne,1
Brügg,Weitere,136
Brüttelen,Elektrizität,11
Brüttelen,Geothermie,13
Brüttelen,Heizöl,97
Brüttelen,Holz,37
Brüttelen,Keine,11
Brüttelen,Luft,26
Brüttelen,Sonne,1
Brüttelen,Weitere,25
Buchholterberg,Elektrizität,30
